Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities
"5 Bhk Bungalow Budhanilkantha Chapali : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,57500000,6,5,3.0,6,North West,2075.0,286,12 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,5 months ago,"['Garage', 'Lawn', 'Balcony', 'Frontyard', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
"Dhapasi Sweet Bungalow : House For Sale In Dhapasi, Kathmandu","NA, Dhapasi, Kathmandu",Kathmandu,66000000,5,5,3.0,4,South East,2071.0,428,14 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,5 months ago,"['Garage', 'Air Condition', 'Lawn', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Wifi', 'Solar Water', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room', 'Security Staff']"
"Family Home Ekatabasti : House For Sale In Ekatabasti, Kathmandu","NA, Ekatabasti, Kathmandu",Kathmandu,29900000,7,5,3.0,1,South West,2076.0,181,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,5 months ago,"['Balcony', 'Garage', 'TV Cable', 'Solar Water', 'Drainage', 'Water Supply', 'Water Well', 'Internet']"
"Fabulous Bungalow , Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,57500000,4,5,3.0,1,South West,2076.0,493,8 Aana,20 Feet / Paved,20 Feet , Paved,N/A Aana,2 months ago,"['Parking', 'Garage', 'Balcony', 'Garden', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank', 'Security Staff', 'Maintenance']"
"Especial Chok Family Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,36000000,4,5,3.0,3,West,2075.0,448,7 Aana,30 Feet / Soil Stabilized,30 Feet , Soil Stabilized,N/A Aana,5 months ago,"['Garage', 'Garden', 'Balcony', 'Drainage', 'Water Tank', 'Solar Water', 'Water Supply', 'Store Room', 'Parking']"
"Hattigauda Bungalow : House For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,35500000,5,5,3.0,2,North West,2075.0,449,5.5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,5 months ago,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Parking', 'Store Room']"
"House For Sale In Thulo Bharyang, Kathmandu","Thulobharang,Ekdhara, Thulo Bharyang, Kathmandu",Kathmandu,24100000,3,3,3.0,0,South West,2068.0,509,2.75 Aana,13 Feet / Paved,13 Feet , Paved,2.75 Aana,5 months ago,"['Water Supply', 'Solar Water', 'Water Well', 'Wifi', 'Water Tank', 'TV Cable']"
"Gorgeous Bungalow For Family : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,40000000,5,5,3.0,3,East,2076.0,544,7.5 Aana,20 Feet / Paved,20 Feet , Paved,2700 Sq. Feet,5 months ago,"['Balcony', 'Frontyard', 'Water Supply', 'Drainage', 'Solar Water']"
"Banglow For Sale : House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,31500000,4,4,3.0,1,South,2012.0,290,4.3 Aana,12 Feet / Paved,12 Feet , Paved,N/A Aana,2 months ago,"['Garage', 'Garden', 'Balcony', 'Solar Water', 'Water Supply', 'Store Room', 'Electricity Backup']"
"Brand New : House For Sale In Gongabu, Kathmandu","Dhaneshwor Temple, Gongabu, Kathmandu",Kathmandu,26000000,4,3,2.5,0,North,2076.0,1.4K,0-3-2-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,5 months ago,"['Water Well', 'Electricity Backup', 'Parking']"
"Surya Danda Home : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,25500000,5,6,3.0,1,East,2076.0,485,3.5 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,5 months ago,['Garage']
"Gorgeous Bungalow : House For Sale In Chapali, Kathmandu","Na, Chapali, Kathmandu",Kathmandu,68000000,5,5,3.0,4,East,2076.0,475,12 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,5 months ago,"['Garage', 'Air Condition', 'Lawn', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Store Room', 'Parking']"
"Sundarbasti Beautiful Home : House For Sale In Bhangal, Kathmandu","Na, Bhangal, Kathmandu",Kathmandu,21500000,6,5,3.0,1,North East,2076.0,456,3.5 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,5 months ago,"['Garage', 'Drainage', 'Solar Water']"
"Small Family Home Bhngal Mandikatar : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,18200000,6,0,3.0,5,West,2076.0,464,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,5 months ago,['Garage']
"Bungalow For Sale : House For Sale In Pasikot, Kathmandu","Na, Pasikot, Kathmandu",Kathmandu,80000000,4,4,3.0,4,East,2072.0,415,21 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,5 months ago,"['Air Condition', 'Lawn', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Solar Water', 'Drainage', 'Water Well', 'Water Tank', 'Parking', 'Store Room']"
"Sundarbasti Bhangal Small Home : House For Sale In Bhangal, Kathmandu","Man, Bhangal, Kathmandu",Kathmandu,19900000,6,5,3.0,1,South West,2076.0,361,3.1 Aana,12 Feet / Paved,12 Feet , Paved,N/A Aana,5 months ago,"['Garage', 'Balcony']"
"Dhapasi Big Bungalow : House For Sale In Dhapasi, Kathmandu","Man, Dhapasi, Kathmandu",Kathmandu,72000000,5,5,3.0,0,South West,2070.0,356,17 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,5 months ago,[]
"House For Sale In Imadol, Lalitpur","nearby Pawan prakriti school., Imadol, Lalitpur",Lalitpur,12000000,2,1,1.5,1,West,2076.0,3.8K,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,3 months ago,"['Fencing', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Parking', 'Store Room']"
"One And Half Storied : House For Sale In Tikathali, Lalitpur","Nearby Panityanki, Tikathali, Lalitpur",Lalitpur,12500000,2,1,1.5,1,East,2076.0,2.6K,0-3-3-1 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,3 months ago,"['Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']"
"House For Sale In Budhanilkantha, Kathmandu","Akasedhara, Sagarmatha chwok, Budhanilkantha, Kathmandu",Kathmandu,19000000,8,4,3.0,1,North,2073.0,6.1K,0-3-2-0 Aana,10 Feet / Gravelled,10 Feet , Gravelled,2100 Sq. Feet,3 months ago,"['Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Store Room']"
"House For Sale In Harisiddhi, Lalitpur","Nepal Cancer Hospital, Harisiddhi, Lalitpur",Lalitpur,35000000,18,16,3.0,1,East,2076.0,8.1K,0-6-2-0 Aana,12 Feet / Gravelled,12 Feet , Gravelled,4800 Sq. Feet,5 months ago,"['Garden', 'TV Cable', 'Wifi', 'Drainage', 'Solar Water', 'Water Well', 'Parking', 'Store Room']"
