Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities
"House For Sale In Harisiddhi, Lalitpur","Harisiddhi, Harisiddhi, Lalitpur",Lalitpur,15500000,8,0,3.0,0,North,2074.0,449,3 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Sq. Feet,7 months ago,[]
"Land For Sale In Suryabinayak, Bhaktapur","sanga fun park, Suryabinayak, Bhaktapur",Bhaktapur,1200000,0,0,0.0,0,South West,2074.0,182,39 Aana,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,N/A Sq. Feet,7 months ago,[]
"House For Rent : House For Rent In Ratopul, Kathmandu","Siphal, Ratopul, Kathmandu",Kathmandu,350000,0,0,5.0,0,South,2074.0,134,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,8000 Sq. Feet,4 months ago,"['Water Supply', 'Water Well', 'Frontyard']"
"House For Rent : House For Rent In Sinamangal, Kathmandu","sinamangal, Sinamangal, Kathmandu",Kathmandu,200000,4,3,3.0,2,South East,2074.0,144,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Water Supply', 'Water Well', 'Balcony', 'Frontyard']"
"Office Space For Rent In Thamel, Kathmandu","Thamel, Thamel, Kathmandu",Kathmandu,120000,12,0,3.0,2,North West,2074.0,109,3 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Water Supply', 'Water Well', 'Frontyard', 'Drainage']"
"Office Space For Rent : Office Space For Rent In Maharajgunj, Kathmandu","Teaching Hospital, Maharajgunj, Kathmandu",Kathmandu,130000,12,0,3.0,3,North East,2074.0,122,6 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,3500 Sq. Feet,4 months ago,"['Frontyard', 'Water Supply']"
"Flat For Rent : Flat For Rent In Thaiba, Lalitpur","NB Colony , Thaiba, Thaiba, Lalitpur",Lalitpur,18000,1,1,3.0,1,South West,2002.0,368,17 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,800 Sq. Feet,3 months ago,"['Lawn', 'Garden']"
"Prime Location House Is For Sale : House For Sale In Gwarko, Lalitpur","Imadol, Gwarko, Lalitpur",Lalitpur,17500000,3,3,3.0,1,North West,2016.0,1.6K,0-0-3 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,0-0-3 Aana,3 months ago,[]
"House For Rent In Gatthaghar, Bhaktapur","Near Nagrik Hospital Gatthaghar, Gatthaghar, Bhaktapur",Bhaktapur,60000,5,0,0.0,6,North,2074.0,180,500 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,200 Sq. Feet,3 months ago,"['Balcony', 'Modular Kitchen', 'Wifi', 'Water Supply', 'Internet', 'Parking']"
"Office Space For Rent In Gatthaghar, Bhaktapur","Gatthaghar Nagrik Hospital, Gatthaghar, Bhaktapur",Bhaktapur,11000,0,0,0.0,5,North,2074.0,176,200 Sq. Feet,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,500 Sq. Feet,3 months ago,"['Parking', 'Internet', 'Wifi', 'Balcony', 'Drainage', 'Water Supply']"
"House For Rent At Chobhar Kathmandu : House For Rent In Chovar, Kathmandu","chobhar, Chovar, Kathmandu",Kathmandu,60000,3,4,2.0,2,East,2019.0,548,7 Aana,0 Feet,0 Feet, Blacktopped,N/A Aana,3 months ago,"['Modular Kitchen', 'Water Supply', 'Garden', 'Parking', 'Kids Playground', 'Balcony']"
"6 Bhk 20 Anna Bungalow For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","6 Bhk 20 Anna Bungalow For Sale At Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,150000000,6,6,2.0,4,East,2074.0,537,0-20-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,3 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Cafeteria', 'Electricity Backup', 'Internet', 'Kids Playground']"
"6 Ropani Exceptionally Beautiful Bungalow For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,250000000,5,7,2.0,20,East,2074.0,848,0-96-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,3 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Jacuzzi']"
"Attractive 11 Anna House For Sale At Dhumbarahi, Inside Ring Road. : House For Sale In Dhumbarahi, Kathmandu","Dhumbarahi, Inside Ring Road, Dhumbarahi, Kathmandu",Kathmandu,75000000,0,4,2.0,0,East,2074.0,357,0-11-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'Electricity Backup', 'Water Supply', 'Internet']"
"5 Anna Fully Furnished Bungalow For Sale At Hattigauda, Very Near Highway. : House For Sale In Hattigauda, Kathmandu","Hattigauda, Near Highway, Hattigauda, Kathmandu",Kathmandu,37500000,4,3,2.0,1,South East,2074.0,1.6K,0-5-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Internet', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup']"
"House For Sale In Shantinagar, Kathmandu","New Baneshwor, Shantinagar, Kathmandu",Kathmandu,43500000,7,3,3.0,1,West,2074.0,1.9K,0-7-3-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,3 months ago,"['Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']"
"12 Anna 6 BHK Fully Furnished Bungalow On Sale At Chapali : House For Sale In Chapali, Kathmandu","Location: Kathmandu > Chapali (Budhanilkantha), Chapali, Kathmandu",Kathmandu,57500000,4,4,2.0,4,South East,2074.0,118,0-12-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"12 Anna House Opposite Rastra Bank At Baluwatar, Beside Subisu Office : House For Sale In Baluwatar, Kathmandu","Opposite Rastra Bank At Baluwatar, Beside Subisu Office, BLOCK 1, Baluwatar, Kathmandu",Kathmandu,105000000,6,5,3.0,3,East,2074.0,309,0-12-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,3 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Intercom', 'Internet', 'Kids Playground']"
"Rose Village Bakot House Sale : House For Sale In Madhyapur Thimi, Bhaktapur","Rose Village Balkot, Madhyapur Thimi, Bhaktapur",Bhaktapur,35000000,3,4,3.0,3,East,2072.0,978,0-4-3-0 Aana,30 Feet / Blacktopped,30 Feet , Blacktopped,2500 Sq. Feet,3 months ago,"['Lawn', 'Garage', 'Balcony', 'Fencing']"
"5.5 Anna New Family Bungalow For Sale At Hattigauda : House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,35500000,4,4,2.0,2,East,2074.0,297,0-5.5-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"8.2 Anna Full Furnished Bungalow For Sale At Pasikot, Budhanilkantha : House For Sale In Pasikot, Kathmandu","Pasikot, Budhanilkantha, Highway bata 800 meter west., Pasikot, Kathmandu",Kathmandu,49500000,0,4,2.0,3,East,2074.0,290,0-8.2--0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"Classical 17.3 Anna Bungalow For Sale At Sukedhara Chowk Inside Colony : House For Sale In Sukedhara, Kathmandu","Sukedhara Chowk , Colony Bhitra, Sukedhara, Kathmandu",Kathmandu,95000000,0,4,2.0,0,East,2074.0,390,0-17.3-0- Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"5 BHK Beautiful Bungalow For Sale At Dhapasi Height : House For Sale In Dhapasi, Kathmandu","Dhapasi Height, Dhapasi, Kathmandu",Kathmandu,35000000,4,4,2.0,2,East,2074.0,305,0-5-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,2500 Sq. Feet,4 months ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Garden', 'Microwave', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"8 Anna Bungalow For Sale At Maharajgunj Just Behind Australian Embassy : House For Sale In Maharajgunj, Kathmandu","Maharajgunj Just Behind Australian Embassy, Maharajgunj, Kathmandu",Kathmandu,55000000,4,3,2.0,3,South East,2074.0,253,0-8-0-0 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"6 Anna 5 Bhk House For Sale At Budhanilkantha, 100 Mtrs From Main Road : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, 100 Mtrs From Main Road, Budhanilkantha, Kathmandu",Kathmandu,36000000,5,4,2.0,2,North East,2074.0,197,0-6-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Cafeteria', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"Marvelous 9 Anna Bungalow For Sale At Golfutar, Hepali Height. : House For Sale In Golfutar, Kathmandu","Golfutar, Hepali Height, Golfutar, Kathmandu",Kathmandu,47500000,5,4,2.0,3,South East,2074.0,1K,0-9-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"Beautiful : House For Rent In Bishal Nagar, Kathmandu","Bishal Basti, Bishal Nagar, Kathmandu",Kathmandu,200000,13,5,3.5,1,North,2074.0,1.6K,0-10-0-0 Aana,16 Feet / Paved,16 Feet , Paved,7000 Aana,4 months ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"Bungalow On Rent At Mandikatar, Dhumbharai : House For Rent In Mandikatar, Kathmandu","Mandikhatar, Mandikatar, Kathmandu",Kathmandu,120000,4,4,2.0,1,West,2074.0,605,8 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,6 Aana,4 months ago,"['Garage', 'Garden', 'Balcony', 'Store Room']"
"Flat On Rent At Raniban : Flat For Rent In Nagarjun, Kathmandu","Raniban, Sungava Tole Gate 5, Nagarjun, Kathmandu",Kathmandu,15000,2,1,3.0,1,South East,2017.0,856,1200 Sq. Feet,12 Feet / Blacktopped,12 Feet , Blacktopped,N/A Aana,3 months ago,[]
"Ravishing : House For Sale In Baluwatar, Kathmandu","opposite of Nepal Rastra Bank, Baluwatar, Kathmandu",Kathmandu,60000000,5,5,2.5,1,South,2074.0,4K,0-6-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Sq. Feet,3 months ago,"['Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Intercom', 'Internet', 'Parking', 'Store Room']"
"Modern European Design : House For Sale In Naxal, Kathmandu","Nearby Bhatbhateni, Naxal, Kathmandu",Kathmandu,65000000,6,5,2.0,1,East,2074.0,1.9K,0-12-0-0 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,N/A Aana,3 months ago,"['Garage', 'Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Intercom', 'Internet', 'Kids Playground', 'Parking', 'Store Room']"
"1.5 Storey House On Sale At Matairtha : House For Sale In Chandragiri, Kathmandu","matatirtha, Chandragiri, Kathmandu",Kathmandu,9500000,3,1,3.0,1,South,2076.0,713,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2076 Aana,3 months ago,[]
"Magnificent 4 BHK 9 Anna Bungalow For Sale At Hepali Height, Golfutar. : House For Sale In Golfutar, Kathmandu","Hepali Height, Golfutar., Golfutar, Kathmandu",Kathmandu,55000000,4,4,2.0,3,South East,2074.0,232,0-9-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"Urgent House Sale : House For Sale In Kapan, Kathmandu","Kapan, Kapan, Kathmandu",Kathmandu,15000000,4,4,3.0,2,West,2014.0,789,3.2 Aana,0 Feet,0 Feet, Blacktopped,N/A Aana,3 months ago,['Garage']
"House For Sale In Dhapakhel, Lalitpur","Nearby Sumeru Hospital, Dhapakhel, Lalitpur",Lalitpur,17700000,3,4,2.5,1,West,2074.0,4.2K,0-2-2-0 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,N/A Aana,2 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']"
"Hetauda Children Park Najik Pragati Path Ma Ghar Jagga Bikrima : House For Sale In Hetauda, Makwanpur","pragati path hetauda-5, Hetauda, Makwanpur",Makwanpur,700000,4,2,1.0,1,North,2074.0,183,22 Dhur,4 Meter / Paved,4 Meter , Paved,10 Dhur,2 months ago,"['Parking', 'Water Supply', 'Garden']"
"Exclusive Semi Bungalow For Sale At Golfutar Chowk 30 Mtr From Highway : House For Sale In Golfutar, Kathmandu","Golfutar Chowk, 30 Meter From Highway, Golfutar, Kathmandu",Kathmandu,45000000,0,4,3.0,2,East,2074.0,589,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,3 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Water Supply', 'Internet', 'Kids Playground']"
"Luxurious Bungalow : House For Sale In Dhobighat, Lalitpur","Dhobighat, Dhobighat, Lalitpur",Lalitpur,90000000,4,2,2.5,3,South,2074.0,11.3K,0-20-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Electricity Backup', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Store Room']"
"2BHK FLAT ON RENT AT BALAJU BORATAR (NEAR BANASTHALI KHARIBOT) : House For Rent In Balaju, Kathmandu","Balaju, Kathmandu, Balaju, Kathmandu",Kathmandu,15000,2,1,3.0,1,North,2019.0,868,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2.75 Aana,4 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Well', 'Water Tank', 'Internet', 'Kids Playground', 'Parking']"
"2.5 Storey : House For Sale In Sitapaila, Kathmandu","near Aadeshwor Planning, Sitapaila, Kathmandu",Kathmandu,21000000,6,5,2.5,1,East,2074.0,8K,0-4-0-0 Aana,14 Feet / Concrete,14 Feet , Concrete,2200 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']"
"Royal Durbar Style Classical Bungalow At Golfutar, Budhanilkantha : House For Sale In Golfutar, Kathmandu","Golfutar, Budhanilkantha, Golfutar, Kathmandu",Kathmandu,35000000,4,4,2.0,2,East,2074.0,2.4K,0-7-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Electricity Backup', 'Water Supply', 'Internet', 'Kids Playground']"
"14 Anna 5 Bhk Bungalow For Sale Mandikatar Height Near Hams Hospital : House For Sale In Mandikatar, Kathmandu","Mandikatar Height Near Hams Hospital, Mandikatar, Kathmandu",Kathmandu,60000000,5,4,2.0,2,East,2074.0,756,0-14-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
"New : House For Sale In Lubhu, Lalitpur","Kantipur college, Lubhu, Lalitpur",Lalitpur,17000000,5,3,2.5,2,South,2074.0,740,0-3-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Sq. Feet,4 months ago,"['Drainage', 'Water Well', 'Electricity Backup', 'Parking']"
"Durbarmarg Office On Sale : Office Space For Sale In Durbar Marg, Kathmandu","Durbarmarg, Durbar Marg, Kathmandu",Kathmandu,850000,0,1,3.0,1,East,2005.0,791,500sqft Sq. Feet,25 Meter / Blacktopped,25 Meter , Blacktopped,500 Sq. Feet,4 months ago,"['Air Condition', 'Balcony', 'Lawn', 'Wifi', 'Water Supply', 'CCTV', 'Internet', 'Security Staff', 'Cafeteria', 'Drainage']"
"2 Storey : House For Sale In Dhading, Dhading","Nilkantha Nagarpalika -3, Dhading, Dhading",Dhading,10000000,4,3,2.0,0,East,2074.0,677,0-4-0-2 Aana,7 Feet / Gravelled,7 Feet , Gravelled,N/A Aana,4 months ago,[]
"Commercial House For Sale At Putalisadak : House For Sale In Putalisadak, Kathmandu","Putalisadak, Putalisadak, Kathmandu",Kathmandu,120000000,0,0,5.0,0,West,2074.0,812,0-3-2-1 Aana,30 Feet / Blacktopped,30 Feet , Blacktopped,0-3-2-1 Aana,4 months ago,"['Drainage', 'Water Supply']"
"Imadol Buddha Party Palace Najik Ko Ghar Bikrima : House For Sale In Imadol, Lalitpur","Imadol near buddha party palace, Imadol, Lalitpur",Lalitpur,18000000,4,3,2.0,1,South,2076.0,1.8K,0-3-0-2 Aana,0 Feet,0 Feet, Blacktopped,N/A Aana,5 months ago,[]
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur","Sainbu, Bhaisepati, Lalitpur",Lalitpur,35200000,4,4,3.0,1,East,2020.0,209,0-5-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,2380 Sq. Feet,2 months ago,"['Balcony', 'Fencing', 'TV Cable', 'Water Supply', 'Drainage', 'CCTV', 'Parking']"
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur","Sainbu, Bhaisepati, Lalitpur",Lalitpur,37100000,4,4,3.0,1,West,2020.0,380,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,2380 Sq. Feet,2 months ago,"['Balcony', 'TV Cable', 'Water Supply', 'Drainage', 'Parking']"
"3-Storey House For Sale In Gairidhara : House For Sale In Gairidhara, Kathmandu","Gairidhara, Gairidhara, Kathmandu",Kathmandu,55000000,4,5,3.0,4,East,2074.0,786,0-5-0-0 Aana,14 Feet / Paved,14 Feet , Paved,N/A Aana,2 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Parking', 'Store Room', 'Security Staff']"
"Harmony Residency : House For Sale In Bhaisepati, Lalitpur","Sainbu, Bhaisepati, Lalitpur",Lalitpur,34500000,4,4,3.0,1,West,2020.0,193,0-5-1-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,2380 Sq. Feet,2 months ago,"['Balcony', 'Fencing', 'TV Cable', 'Water Supply', 'Drainage', 'CCTV', 'Parking']"
"House On Sale At Mahadevsthan , Thankot : House For Sale In Thankot, Kathmandu","madevsthan, Thankot, Kathmandu",Kathmandu,11000000,10,3,2.0,0,East,2072.0,538,4 Aana,3 Feet,3 Feet, Blacktopped,N/A Aana,2 months ago,"['Electricity Backup', 'Solar Water']"
"5 Anna Semi Bungalow For Sale At Sukedhara Inside Ring Road : House For Sale In Sukedhara, Kathmandu","Sukedhara Near Chauki, Sukedhara, Kathmandu",Kathmandu,42500000,5,3,2.0,1,East,2074.0,147,0-5-0-0 Aana,12 Feet / Paved,12 Feet , Paved,N/A Aana,2 months ago,"['Parking', 'Lawn', 'Garage', 'Air Condition', 'Backyard', 'Garden', 'Fencing', 'Frontyard', 'Deck', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']"
"Land On Sale In Chabahil, Kathmandu : Land For Sale In Anamnagar, Kathmandu","chabahil, maijubahal, maijumilan tole, Anamnagar, Kathmandu",Kathmandu,6000000,0,0,0.0,0,East,2074.0,351,0-3-0 Sq. Feet,13 Feet / Gravelled,13 Feet , Gravelled,N/A Sq. Feet,2 months ago,[]
"Naya Ghar : House For Sale In Tokha, Kathmandu","Suryadarsan Height, Tokha, Kathmandu, Tokha, Kathmandu",Kathmandu,16000000,4,3,3.0,1,East,2076.0,998,3 Aana,12 Feet / Paved,12 Feet , Paved,3 Aana,5 months ago,"['Balcony', 'Water Tank', 'Water Supply', 'Drainage']"
"Land : Land For Sale In Damak, Jhapa","krishnamandir, Damak, Jhapa",Jhapa,430000,0,0,0.0,0,South,2074.0,583,4920 Sq. Feet,32 Feet / Blacktopped,32 Feet , Blacktopped,N/A Sq. Feet,3 months ago,[]
"Land For Sale In Bardibas, Mahottari","Sindhuli, Ratmata, Bardibas, Mahottari",Mahottari,220000,0,0,0.0,0,East,2074.0,706,10935 Sq. Feet,6 Meter / Soil Stabilized,6 Meter , Soil Stabilized,10935 Sq. Feet,4 months ago,[]
"2 Storey Beautiful House For Sale At Tinkune : House For Sale In Tinkune, Kathmandu","Subidhanagar,Tinkune, Tinkune, Kathmandu",Kathmandu,32500000,4,3,2.0,4,East,2074.0,393,5.75 Aana,11 Feet / Blacktopped,11 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Backyard', 'Frontyard', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
"House For Sale In Imadol, Lalitpur","Gumba, Imadol, Lalitpur",Lalitpur,22000000,10,3,3.0,1,South,2074.0,2K,0-3-3-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,5 months ago,"['TV Cable', 'Drainage', 'Water Well', 'Parking']"
"Office Sapce @ Imadol : Office Space For Rent In Imadol, Lalitpur","Imadol 1, Imadol, Lalitpur",Lalitpur,65000,0,0,4.0,0,North East,2074.0,446,0-6-1-2 Aana,22 Meter / Blacktopped,22 Meter , Blacktopped,1530 Sq. Feet,5 months ago,[]
"Imadol Ko Ghar Bikrima : House For Sale In Imadol, Lalitpur","imadol -4 lalitpur, Imadol, Lalitpur",Lalitpur,19700000,4,4,3.0,2,South,2076.0,1.2K,3.5 Aana,13 Feet,13 Feet, Blacktopped,N/A Aana,5 months ago,"['Garage', 'Backyard', 'Balcony']"
"House For Sale At Manamaiju : House For Sale In Manamaiju, Kathmandu","Kathmandu, Manmaiju, Manamaiju, Kathmandu",Kathmandu,17000000,5,3,3.0,1,East,2074.0,764,3.75 Aana,12 Feet / Paved,12 Feet , Paved,N/A Aana,2 months ago,"['Balcony', 'Parking', 'Solar Water', 'Drainage', 'Water Supply']"
